tmin,date
3.9, 1963-12-31 
2.2, 1963-12-30 
1.7, 1963-12-29 
2.2, 1963-12-28 
-2.2, 1963-12-27 
-0.6, 1963-12-26 
-1.1, 1963-12-25 
-6.1, 1963-12-24 
-3.3, 1963-12-23 
0, 1963-12-22 
-2.8, 1963-12-21 
-1.7, 1963-12-20 
-0.6, 1963-12-19 
0, 1963-12-18 
0.6, 1963-12-17 
1.7, 1963-12-16 
-1.1, 1963-12-15 
0, 1963-12-14 
1.1, 1963-12-13 
1.1, 1963-12-12 
-0.6, 1963-12-11 
-0.6, 1963-12-10 
1.7, 1963-12-09 
3.3, 1963-12-08 
1.1, 1963-12-07 
2.8, 1963-12-06 
2.2, 1963-12-05 
4.4, 1963-12-04 
3.9, 1963-12-03 
6.1, 1963-12-02 
2.8, 1963-12-01 
4.4, 1963-11-30 
3.9, 1963-11-29 
-1.1, 1963-11-28 
-1.1, 1963-11-27 
5.6, 1963-11-26 
6.7, 1963-11-25 
7.8, 1963-11-24 
3.9, 1963-11-23 
3.3, 1963-11-22 
-2.8, 1963-11-21 
-0.6, 1963-11-20 
7.8, 1963-11-19 
8.9, 1963-11-18 
0, 1963-11-17 
0, 1963-11-16 
4.4, 1963-11-15 
0.6, 1963-11-14 
1.7, 1963-11-13 
5.6, 1963-11-12 
10.6, 1963-11-11 
8.3, 1963-11-10 
2.2, 1963-11-09 
5, 1963-11-08 
6.1, 1963-11-07 
7.8, 1963-11-06 
8.3, 1963-11-05 
7.8, 1963-11-04 
6.1, 1963-11-03 
8.9, 1963-11-02 
7.8, 1963-11-01 
9.4, 1963-10-31 
5.6, 1963-10-30 
5.6, 1963-10-29 
7.2, 1963-10-28 
7.8, 1963-10-27 
6.7, 1963-10-26 
8.9, 1963-10-25 
8.9, 1963-10-24 
7.8, 1963-10-23 
6.1, 1963-10-22 
8.9, 1963-10-21 
8.9, 1963-10-20 
8.3, 1963-10-19 
6.1, 1963-10-18 
8.3, 1963-10-17 
11.1, 1963-10-16 
5.6, 1963-10-15 
5.6, 1963-10-14 
7.2, 1963-10-13 
7.8, 1963-10-12 
9.4, 1963-10-11 
7.8, 1963-10-10 
6.1, 1963-10-09 
8.3, 1963-10-08 
8.3, 1963-10-07 
3.9, 1963-10-06 
5.6, 1963-10-05 
5.6, 1963-10-04 
3.9, 1963-10-03 
3.9, 1963-10-02 
6.1, 1963-10-01 
8.3, 1963-09-30 
10, 1963-09-29 
6.7, 1963-09-28 
7.2, 1963-09-27 
8.3, 1963-09-26 
6.1, 1963-09-25 
7.8, 1963-09-24 
12.2, 1963-09-23 
11.7, 1963-09-22 
12.8, 1963-09-21 
7.2, 1963-09-20 
7.2, 1963-09-19 
11.7, 1963-09-18 
8.9, 1963-09-17 
8.9, 1963-09-16 
5, 1963-09-15 
7.8, 1963-09-14 
3.3, 1963-09-13 
7.2, 1963-09-12 
9.4, 1963-09-11 
6.7, 1963-09-10 
7.2, 1963-09-09 
7.2, 1963-09-08 
7.2, 1963-09-07 
6.7, 1963-09-06 
7.2, 1963-09-05 
9.4, 1963-09-04 
10.6, 1963-09-03 
12.8, 1963-09-02 
11.7, 1963-09-01 
9.4, 1963-08-31 
7.2, 1963-08-30 
8.3, 1963-08-29 
9.4, 1963-08-28 
10.6, 1963-08-27 
11.7, 1963-08-26 
10, 1963-08-25 
11.7, 1963-08-24 
10.6, 1963-08-23 
8.9, 1963-08-22 
9.4, 1963-08-21 
7.8, 1963-08-20 
8.9, 1963-08-19 
10, 1963-08-18 
7.8, 1963-08-17 
7.8, 1963-08-16 
6.7, 1963-08-15 
10, 1963-08-14 
11.1, 1963-08-13 
10.6, 1963-08-12 
13.3, 1963-08-11 
10.6, 1963-08-10 
10.6, 1963-08-09 
12.2, 1963-08-08 
11.7, 1963-08-07 
11.1, 1963-08-06 
12.8, 1963-08-05 
15, 1963-08-04 
15, 1963-08-03 
10.6, 1963-08-02 
11.7, 1963-08-01 
11.1, 1963-07-31 
12.8, 1963-07-30 
9.4, 1963-07-29 
8.9, 1963-07-28 
8.9, 1963-07-27 
10, 1963-07-26 
11.7, 1963-07-25 
13.9, 1963-07-24 
13.3, 1963-07-23 
12.2, 1963-07-22 
8.9, 1963-07-21 
10, 1963-07-20 
14.4, 1963-07-19 
12.2, 1963-07-18 
11.1, 1963-07-17 
13.9, 1963-07-16 
15.6, 1963-07-15 
9.4, 1963-07-14 
11.1, 1963-07-13 
12.2, 1963-07-12 
8.9, 1963-07-11 
11.7, 1963-07-10 
12.2, 1963-07-09 
11.1, 1963-07-08 
11.7, 1963-07-07 
11.1, 1963-07-06 
10.6, 1963-07-05 
11.1, 1963-07-04 
10, 1963-07-03 
10.6, 1963-07-02 
11.7, 1963-07-01 
11.7, 1963-06-30 
11.1, 1963-06-29 
10, 1963-06-28 
9.4, 1963-06-27 
10, 1963-06-26 
11.1, 1963-06-25 
11.1, 1963-06-24 
10, 1963-06-23 
11.7, 1963-06-22 
13.9, 1963-06-21 
10.6, 1963-06-20 
8.3, 1963-06-19 
10, 1963-06-18 
13.9, 1963-06-17 
12.2, 1963-06-16 
9.4, 1963-06-15 
10, 1963-06-14 
11.7, 1963-06-13 
9.4, 1963-06-12 
9.4, 1963-06-11 
9.4, 1963-06-10 
10.6, 1963-06-09 
10.6, 1963-06-08 
11.7, 1963-06-07 
11.7, 1963-06-06 
8.9, 1963-06-05 
9.4, 1963-06-04 
10, 1963-06-03 
10, 1963-06-02 
11.7, 1963-06-01 
10, 1963-05-31 
8.3, 1963-05-30 
7.8, 1963-05-29 
7.2, 1963-05-28 
7.2, 1963-05-27 
7.8, 1963-05-26 
7.2, 1963-05-25 
6.7, 1963-05-24 
7.2, 1963-05-23 
7.2, 1963-05-22 
8.9, 1963-05-21 
3.9, 1963-05-20 
5.6, 1963-05-19 
7.2, 1963-05-18 
8.3, 1963-05-17 
6.1, 1963-05-16 
6.1, 1963-05-15 
7.2, 1963-05-14 
8.3, 1963-05-13 
6.1, 1963-05-12 
6.1, 1963-05-11 
7.8, 1963-05-10 
7.8, 1963-05-09 
8.3, 1963-05-08 
6.1, 1963-05-07 
3.9, 1963-05-06 
6.1, 1963-05-05 
3.3, 1963-05-04 
5, 1963-05-03 
4.4, 1963-05-02 
5.6, 1963-05-01 
6.1, 1963-04-30 
8.9, 1963-04-29 
12.8, 1963-04-28 
3.9, 1963-04-27 
3.9, 1963-04-26 
3.9, 1963-04-25 
3.9, 1963-04-24 
5.6, 1963-04-23 
8.3, 1963-04-22 
8.3, 1963-04-21 
7.2, 1963-04-20 
5, 1963-04-19 
6.1, 1963-04-18 
7.2, 1963-04-17 
6.7, 1963-04-16 
6.7, 1963-04-15 
4.4, 1963-04-14 
0.6, 1963-04-13 
2.2, 1963-04-12 
6.1, 1963-04-11 
8.3, 1963-04-10 
2.8, 1963-04-09 
2.2, 1963-04-08 
2.2, 1963-04-07 
3.3, 1963-04-06 
0.6, 1963-04-05 
1.7, 1963-04-04 
3.9, 1963-04-03 
6.1, 1963-04-02 
0, 1963-04-01 
2.2, 1963-03-31 
2.2, 1963-03-30 
2.8, 1963-03-29 
1.1, 1963-03-28 
1.7, 1963-03-27 
3.9, 1963-03-26 
4.4, 1963-03-25 
-0.6, 1963-03-24 
0.6, 1963-03-23 
0.6, 1963-03-22 
1.7, 1963-03-21 
1.7, 1963-03-20 
3.3, 1963-03-19 
6.1, 1963-03-18 
5, 1963-03-17 
6.7, 1963-03-16 
6.7, 1963-03-15 
7.2, 1963-03-14 
0.6, 1963-03-13 
2.8, 1963-03-12 
2.2, 1963-03-11 
5, 1963-03-09 
6.1, 1963-03-08 
7.8, 1963-03-07 
7.8, 1963-03-06 
2.2, 1963-03-05 
-0.6, 1963-03-04 
-2.2, 1963-03-03 
-2.2, 1963-03-02 
-1.7, 1963-03-01 
-2.2, 1963-02-28 
-3.9, 1963-02-27 
-4.4, 1963-02-26 
-3.9, 1963-02-25 
-4.4, 1963-02-24 
-3.9, 1963-02-23 
-6.1, 1963-02-22 
-2.2, 1963-02-21 
-2.2, 1963-02-20 
-1.7, 1963-02-19 
-1.7, 1963-02-18 
-1.1, 1963-02-17 
-1.1, 1963-02-16 
-1.1, 1963-02-15 
-2.8, 1963-02-14 
0, 1963-02-13 
0, 1963-02-12 
-1.1, 1963-02-11 
-2.2, 1963-02-10 
-1.1, 1963-02-09 
-1.1, 1963-02-08 
0, 1963-02-07 
-3.3, 1963-02-06 
-10, 1963-02-05 
-5.6, 1963-02-04 
-3.3, 1963-02-03 
-4.4, 1963-02-02 
-5.6, 1963-02-01 
-1.7, 1963-01-31 
-2.2, 1963-01-30 
1.1, 1963-01-29 
1.7, 1963-01-28 
1.7, 1963-01-27 
-2.8, 1963-01-26 
